                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2009,                 2.3778,                 2.7382,                 1.2063,                0.00791,                0.79167,                0.63096,                0.44523,                0.00786,                0.78646,                0.61974,                0.37579,                 0.8664,                 1.6489,                  3.301,                 1.0162,             0.00034296,             0.00034296,             0.00034296
                      2,                0.96422,                 1.5518,                 1.3083,                 1.0268,                      1,                0.22056,                0.82461,                0.57806,                      1,                0.22056,                0.82496,                 0.5414,                0.98493,                 1.5436,                 2.8687,                 1.0057,             0.00069328,             0.00069328,             0.00069328
                      3,                 0.9697,                 1.4093,                 1.1347,                 1.0291,                0.98857,                0.35188,                0.94921,                0.63975,                0.98857,                0.35188,                0.94915,                0.65879,                 1.0093,                 1.3101,                  2.525,                 1.0585,              0.0010365,              0.0010365,              0.0010365
                      4,                0.91207,                 1.3434,                 1.0028,                 1.0067,                0.79691,                0.88581,                 0.9613,                0.66309,                0.79388,                 0.8733,                0.94926,                0.61718,                0.92457,                 1.5158,                 1.8183,                 1.0865,              0.0013727,              0.0013727,              0.0013727
                      5,                 0.9273,                 1.3877,                0.97716,                  1.016,                 0.9749,                0.98413,                0.98277,                0.70856,                 0.9749,                0.98413,                0.98277,                0.73033,                 0.9052,                 1.1823,                0.96377,                 1.0237,              0.0013724,              0.0013724,              0.0013724
                      6,                0.89311,                 1.3061,                0.89998,                 1.0151,                0.98243,                0.98525,                0.98211,                0.71489,                0.98243,                0.98525,                0.98211,                0.62767,                0.81614,                 1.4148,                0.87189,                 1.0414,              0.0013583,              0.0013583,              0.0013583
                      7,                0.90184,                 1.2986,                0.84046,                 1.0106,                0.98278,                0.95811,                0.97915,                0.72969,                0.98278,                0.95811,                0.97915,                0.71002,                0.81686,                 1.3727,                  1.126,                  1.033,              0.0013441,              0.0013441,              0.0013441
                      8,                0.91452,                 1.3369,                 0.8809,                 1.0105,                0.97762,                0.95625,                 0.9804,                0.71814,                0.97762,                0.95625,                 0.9804,                0.68455,                0.83834,                 1.2741,                0.90068,                 1.0738,                0.00133,                0.00133,                0.00133
                      9,                0.86906,                  1.228,                0.78694,                0.99459,                0.97885,                0.97555,                0.98532,                0.74414,                0.97885,                0.97555,                0.98532,                0.65525,                0.78172,                 1.6331,                0.80137,                 1.0103,              0.0013158,              0.0013158,              0.0013158
                     10,                0.85354,                 1.2487,                0.73873,                 0.9852,                0.97102,                0.99479,                0.98664,                0.74846,                0.97102,                0.99479,                0.98664,                0.73302,                0.80157,                 1.1739,                0.74335,                 1.0189,              0.0013017,              0.0013017,              0.0013017
                     11,                0.82795,                 1.2211,                0.68612,                0.97496,                0.98195,                0.99467,                0.98831,                0.75675,                0.98195,                0.99467,                0.98831,                0.74521,                0.78443,                 1.1307,                0.67547,                 1.0055,              0.0012875,              0.0012875,              0.0012875
                     12,                0.86387,                 1.2854,                0.70806,                0.98726,                0.96898,                0.98985,                0.99163,                0.72845,                0.96898,                0.98985,                0.99085,                0.74137,                0.83862,                 1.1139,                0.72614,                 1.0411,              0.0012734,              0.0012734,              0.0012734
                     13,                0.84881,                 1.2477,                0.68754,                0.99563,                0.97403,                      1,                0.98954,                0.74892,                0.97403,                      1,                0.98954,                0.75521,                0.70962,                 1.0369,                0.67928,                0.99089,              0.0012592,              0.0012592,              0.0012592
                     14,                0.80553,                 1.2001,                0.63796,                0.97565,                  0.983,                 0.9954,                0.99033,                0.76107,                  0.983,                 0.9954,                0.99033,                0.74275,                0.78307,                 1.0598,                0.63783,                 1.0166,              0.0012451,              0.0012451,              0.0012451
                     15,                0.81271,                 1.1804,                0.63436,                 0.9701,                0.97895,                0.99396,                0.99063,                0.76481,                0.97895,                0.99396,                0.99063,                0.74945,                 0.8094,                0.99907,                0.60249,                 1.0265,              0.0012309,              0.0012309,              0.0012309
                     16,                0.84982,                 1.2082,                0.62202,                0.98067,                0.98175,                0.99261,                0.98613,                 0.7534,                0.98175,                0.99261,                0.98613,                0.73254,                0.73521,                 1.0759,                0.55858,                 1.0274,              0.0012168,              0.0012168,              0.0012168
                     17,                0.83914,                   1.17,                0.60194,                0.98288,                 0.9776,                0.99917,                0.98946,                0.76166,                 0.9776,                0.99917,                0.98946,                0.74422,                0.74931,                 1.0556,                0.51695,                 1.0024,              0.0012026,              0.0012026,              0.0012026
                     18,                0.83929,                 1.1968,                0.60305,                0.97989,                0.97069,                0.99843,                0.98859,                0.74686,                0.97069,                0.99843,                0.98859,                0.73992,                 0.8057,                 1.1032,                0.54845,                 1.0275,              0.0011885,              0.0011885,              0.0011885
                     19,                0.80175,                 1.1713,                0.56417,                0.96594,                0.98088,                      1,                0.98849,                0.76582,                0.98088,                      1,                0.98849,                0.74905,                0.76303,                 1.0336,                0.51247,                 1.0131,              0.0011744,              0.0011744,              0.0011744
                     20,                0.81161,                 1.1724,                0.57059,                  0.964,                0.97916,                0.99939,                0.98715,                0.76255,                0.97916,                0.99939,                0.98715,                0.74249,                0.74596,                 1.0758,                0.50601,                 1.0047,              0.0011602,              0.0011602,              0.0011602
                     21,                0.81691,                 1.1876,                0.57951,                0.97005,                0.98133,                0.99479,                0.98772,                0.76674,                0.98133,                0.99479,                0.98584,                 0.7579,                0.76556,                 1.0222,                0.51443,                 1.0203,              0.0011461,              0.0011461,              0.0011461
                     22,                0.79464,                 1.1259,                0.54874,                0.96543,                0.97674,                0.99505,                0.99013,                0.76101,                0.97705,                0.99479,                0.98739,                0.75352,                0.77447,                 1.0522,                0.46342,                 1.0131,              0.0011319,              0.0011319,              0.0011319
                     23,                0.83651,                 1.2097,                0.54995,                0.97727,                0.98243,                0.99479,                0.98991,                0.74653,                0.98243,                0.99479,                0.98981,                0.73628,                0.76463,                 1.1071,                0.54299,                 1.0145,              0.0011178,              0.0011178,              0.0011178
                     24,                0.80518,                 1.1549,                0.55799,                0.97035,                0.98287,                0.99479,                0.98952,                0.75935,                0.98287,                0.99479,                0.98952,                0.75125,                 0.8069,                 1.0558,                0.50662,                 1.0107,              0.0011036,              0.0011036,              0.0011036
                     25,                0.76279,                 1.1146,                0.52813,                0.95289,                0.98337,                0.99095,                0.98562,                0.76627,                0.98102,                0.98486,                0.98458,                0.75652,                0.77254,                 1.0567,                 0.4782,                 1.0015,              0.0010895,              0.0010895,              0.0010895
                     26,                0.78802,                 1.1136,                0.50432,                0.95736,                0.98083,                0.98438,                0.98488,                0.75732,                0.97573,                0.97917,                0.98235,                0.74471,                0.75316,                 1.0823,                0.48255,                 1.0309,              0.0010753,              0.0010753,              0.0010753
                     27,                0.78868,                 1.1441,                0.51885,                0.96237,                0.97998,                      1,                0.99013,                0.75563,                0.97998,                      1,                0.99013,                0.75205,                 0.7663,                 1.0491,                0.46756,                 1.0156,              0.0010612,              0.0010612,              0.0010612
                     28,                0.80077,                 1.1724,                0.52876,                0.97798,                0.98373,                0.99655,                0.98705,                0.75381,                0.98373,                0.99655,                0.98705,                0.74648,                0.77991,                 1.0392,                0.45826,                 1.0078,               0.001047,               0.001047,               0.001047
                     29,                0.77818,                 1.1056,                0.51761,                0.96886,                0.98079,                0.99943,                0.98597,                0.75531,                0.98079,                0.99943,                0.98597,                 0.7526,                0.77034,                 1.0325,                0.49109,                 1.0144,              0.0010329,              0.0010329,              0.0010329
                     30,                0.76152,                 1.1194,                0.49415,                0.96101,                0.97931,                      1,                0.98726,                0.76806,                0.97931,                      1,                0.98726,                0.75537,                0.76085,                 1.0421,                0.44739,                 1.0289,              0.0010187,              0.0010187,              0.0010187
                     31,                0.78622,                 1.1032,                0.49275,                0.96059,                0.98143,                      1,                0.98495,                0.75683,                0.98143,                      1,                0.98495,                0.73749,                0.74901,                 1.1199,                0.42852,                 1.0119,              0.0010046,              0.0010046,              0.0010046
                     32,                0.82191,                 1.1338,                0.51152,                0.98276,                0.98247,                      1,                 0.9871,                0.76394,                0.98247,                      1,                 0.9871,                0.75188,                  0.738,                 1.0389,                0.44064,                 1.0171,             0.00099044,             0.00099044,             0.00099044
                     33,                0.76444,                 1.1405,                0.49753,                0.96494,                 0.9784,                      1,                0.98895,                0.77883,                 0.9784,                      1,                0.98895,                 0.7505,                0.69128,                 1.0711,                0.41964,                0.99169,             0.00097629,             0.00097629,             0.00097629
                     34,                0.77054,                 1.0973,                0.48508,                0.95554,                0.98035,                0.99924,                0.98972,                0.76345,                0.98035,                0.99924,                0.98972,                0.74503,                0.73625,                 1.0139,                0.42899,                 0.9913,             0.00096215,             0.00096215,             0.00096215
                     35,                0.75105,                 1.0958,                0.46457,                0.94703,                0.98785,                0.99229,                0.99018,                0.76567,                0.97654,                0.99814,                0.98625,                0.75119,                0.74461,                 1.0132,                0.44318,                 1.0039,               0.000948,               0.000948,               0.000948
                     36,                0.76272,                 1.0984,                0.47692,                0.95667,                0.98277,                      1,                0.98772,                0.75168,                0.98277,                      1,                0.98772,                0.74898,                0.75471,                 1.0538,                0.45912,                0.99963,             0.00093385,             0.00093385,             0.00093385
                     37,                0.75307,                 1.0984,                0.48873,                 0.9579,                0.97565,                0.99896,                0.98367,                 0.7647,                0.97007,                0.99463,                 0.9832,                0.74782,                0.74328,                 1.0475,                0.41443,                0.99715,              0.0009197,              0.0009197,              0.0009197
                     38,                0.72697,                 1.1051,                 0.4608,                 0.9456,                0.98336,                0.99515,                0.98808,                0.76113,                0.98336,                0.99515,                0.98808,                0.74602,                0.76686,                 1.0422,                0.39128,                 1.0067,             0.00090556,             0.00090556,             0.00090556
                     39,                0.74391,                 1.0842,                0.44741,                0.95426,                0.98356,                0.99581,                0.98751,                0.78388,                0.98356,                0.99581,                0.98751,                0.75787,                0.77668,                 1.0154,                0.39241,                0.99981,             0.00089141,             0.00089141,             0.00089141
                     40,                0.73042,                 1.0646,                0.43722,                 0.9386,                0.97659,                 0.9945,                0.98911,                0.77102,                0.98171,                0.99968,                0.98936,                0.76131,                 0.8221,                 1.0398,                0.43199,                 1.0018,             0.00087726,             0.00087726,             0.00087726
                     41,                0.74902,                 1.1094,                0.45933,                0.95258,                 0.9819,                0.99928,                0.98833,                0.76655,                 0.9819,                0.99928,                0.98833,                0.75692,                0.74117,                 1.0601,                0.40058,                0.99735,             0.00086312,             0.00086312,             0.00086312
                     42,                0.73464,                  1.083,                0.45678,                0.95223,                0.97906,                0.99518,                0.99028,                0.78838,                0.97906,                0.99518,                0.99028,                  0.767,                0.75614,                 1.0495,                0.38228,                 1.0051,             0.00084897,             0.00084897,             0.00084897
                     43,                0.72922,                  1.078,                0.45548,                0.94456,                0.98094,                0.99541,                0.98736,                0.77951,                0.98094,                0.99541,                0.98736,                0.75243,                0.75009,                 1.0519,                0.40549,                 1.0227,             0.00083482,             0.00083482,             0.00083482
                     44,                0.74184,                 1.1047,                0.45011,                0.95429,                0.98199,                 0.9951,                0.98838,                0.75745,                0.98199,                 0.9951,                0.98838,                0.74215,                0.75564,                 1.0785,                0.40404,                  1.012,             0.00082067,             0.00082067,             0.00082067
                     45,                0.74227,                 1.1079,                0.45526,                0.93213,                 0.9807,                0.98999,                0.98745,                0.77117,                 0.9807,                0.98999,                0.98745,                0.75067,                 0.7326,                 1.0589,                0.41222,                 1.0232,             0.00080653,             0.00080653,             0.00080653
                     46,                0.72327,                 1.0551,                0.43263,                0.94005,                0.98227,                0.99114,                 0.9875,                0.75744,                0.98227,                0.99114,                 0.9875,                0.75433,                0.76093,                 1.0147,                0.41045,                 1.0296,             0.00079238,             0.00079238,             0.00079238
                     47,                0.71351,                 1.0676,                  0.442,                0.93801,                0.98298,                0.99518,                 0.9911,                0.77371,                0.98298,                0.99518,                 0.9911,                0.76075,                0.75727,                 1.0018,                0.38247,                 1.0108,             0.00077823,             0.00077823,             0.00077823
                     48,                0.71713,                 1.0468,                 0.4164,                0.94098,                0.98188,                0.99567,                0.99213,                0.76491,                0.98188,                0.99567,                0.99213,                0.75629,                0.77617,                 1.0139,                0.39237,                 1.0165,             0.00076409,             0.00076409,             0.00076409
                     49,                0.69652,                 1.0256,                0.41732,                0.93176,                0.98036,                0.99908,                0.98956,                0.77558,                0.98036,                0.99908,                0.98956,                0.75906,                0.75006,                 1.0504,                0.37892,                 1.0061,             0.00074994,             0.00074994,             0.00074994
